Sample	C1	C13	C14	C2	C3	C4	C5	C6	F25	F26	F27	F28	F29	F30	F31	F32
MAG01	532	197	226	369	203	243	326	205	38886	12064	5952	16818	118598	7570	9717	17800
MAG02	8913	18007	19770	11054	12220	8769	6903	10046	150363	12551	58889	16211	21215	122024	46227	94795
MAG03	85558	8882	3757	25992	2828	21223	32227	33217	3239	2482	13802	572	37129	1301	7300	2030
MAG04	100611	784486	797582	481991	354181	224883	192244	202918	671285	113250	232257	210928	222875	498992	472474	367878
MAG05	41563	70002	24518	69543	37773	197132	31852	16954	226204	294404	14652	32032	2557264	49764	626906	52246
MAG06	318511	128642	45427	205274	94925	84194	20977	115521	125846	24068	185838	18724	118508	180255	73747	34443
MAG07	37088	517	193	1660	423	876	8062	18949	17939	7257	920	216	3199	4233	1823	7287
MAG08	100752	58088	22513	116274	4250	30541	124937	35609	433	268	3264	515	15487	414	902	1634
MAG09	21448	12426	8094	11955	13431	15600	29919	15428	484703	283914	1511427	151261	600840	2187129	715504	683675
MAG10	34777	62115	55139	46803	36248	35217	34002	40927	173022	42099	91087	69720	128955	131923	148787	112179
MAG11	175276	226195	199711	223349	88020	88238	142040	121269	276302	127172	394665	143629	542444	196780	352711	305656
MAG12	155106	336252	121040	388179	66464	122257	130086	149507	166422	47441	57027	46364	358942	151799	121129	134423
MAG13	11280	9789	6621	7839	5852	7510	6601	11712	64589	6079	22347	8897	22931	36509	21764	27300
MAG14	56263	27796	11362	32993	2183	16588	55323	65101	61090	51851	9865	10414	752801	52751	99850	14277
MAG15	86967	239362	119609	200358	113072	127278	69342	112784	211627	21831	79901	34690	67225	217742	78153	150642
MAG16	7021	6144	4046	63434	55759	42267	788	1068	10901	5123	824	7181	261024	13825	12175	14303
MAG17	71312	415668	484133	244764	32355	62202	173448	60225	444349	45439	229765	151802	184768	349885	196098	277249
MAG18	70591	77577	93099	80138	53979	72213	61729	64013	3962	8776	30057	31663	80477	4571	21688	6588
MAG19	25285	28861	21777	36775	66980	20093	19025	37102	5901	751	13547	1263	2755	5313	3076	5684
MAG20	281255	74581	51400	71429	36017	49977	171168	193790	56405	30410	56294	87586	165162	340665	61610	21439
MAG21	19808	14712	7927	14821	20515	29140	2504	45628	9986	19729	23992	3848	111586	35315	29017	12154
MAG22	44313	283919	205549	203346	78532	106344	58988	60199	315636	46131	109956	155533	122237	239031	170333	206001
MAG23	21800	3296	1700	10340	10557	6951	3823	20168	6754	9031	17361	3683	8079	187512	61034	22427
MAG24	93145	117510	153991	72516	69777	51603	70356	66259	186889	58014	163324	32944	261950	164601	189131	93935
MAG25	3249	1357	693	1612	659	1703	8041	1676	53534	883	2909	9529	10290	4889	2611	4479
MAG26	206717	1297777	1490417	691772	823621	401295	317418	441100	951889	148993	564961	160872	399212	980448	737601	758546
MAG27	874203	2273132	1854482	1570806	1407537	1088690	1307910	1321918	2809084	164615	1601407	967229	895738	3090828	903597	2430849
MAG28	57520	184061	148873	130375	65288	81648	105138	59396	390481	85732	132490	199378	276092	268285	365813	252421
MAG29	420	12282	2354	23431	319	2535	383	917	31345	23775	129	289	251673	41451	42669	28040
MAG30	827220	105727	15402	496881	8986	10269	362161	36477	1498	348	318	501	3055	869	495	787
MAG31	59041	29854	29604	26723	33241	35134	38379	52114	18438	13831	45712	50184	224813	15040	37136	16050
MAG32	56064	9891	2495	30691	23743	40463	43596	34788	120033	30189	10256	23479	162112	129058	106669	74451
MAG33	60813	136309	57844	122339	54701	73379	38141	47705	846139	226553	215527	226522	756020	662080	375219	251142
MAG34	81818	21108	29212	15255	9227	26183	46141	15621	5286	9756	15709	15619	18746	4105	53002	4577
MAG35	92537	106575	81876	95309	39514	68499	106051	60023	195334	38837	106994	31581	238997	62883	191691	58326
MAG36	34489	12057	3273	46944	12286	133596	40661	88345	11159	472	28893	793	5219	6334	1820	58135
MAG37	12959	56232	48936	34539	17022	20064	14066	16295	263353	75897	91436	62991	168736	153149	60546	146663
MAG38	7827	2765	1141	7768	686	4193	5146	2803	5839	104	78254	151	946	409	274	2759
MAG39	25820	66401	37571	128219	320095	467604	23136	66762	54552	14275	30290	18732	50759	36362	37886	29567
MAG40	475584	2037	1245	53720	53204	189785	146947	270457	2596	1804	1021	3549	137794	1739	39509	2049
MAG41	155920	88564	51915	80212	51970	126291	529074	113607	129296	95145	70670	176686	350693	216689	217687	77998
MAG42	163306	15598	3631	25240	2989	10464	14543	97019	120513	41116	15032	15983	81480	10134	43103	18918
MAG43	94656	46815	49318	31115	65561	30139	35189	67196	254954	78980	150659	40231	170556	137945	484529	181083
MAG44	292211	527293	535607	351459	573270	263346	196888	272991	953299	111371	360319	166000	267819	634892	464836	693110
MAG45	508	609	431	892	957	4041	3153	5467	5869	12638	105111	23822	59084	2278	11015	5426
MAG46	18839	193364	206228	124310	124798	85364	61623	31690	275866	23923	131652	106352	45656	179748	63206	151455
MAG47	122580	715385	706531	433525	411395	233704	214142	252451	271158	27668	163053	71004	77679	189126	109059	167203
MAG48	188889	326841	401639	228957	372723	267592	142446	185235	372164	163751	654468	132136	667440	286811	323403	173056
MAG49	37492	152625	128583	109985	75260	68838	65855	59222	181602	18023	119544	30426	42786	191220	90200	141787
MAG50	29629	254049	186946	152818	61021	70467	47678	51590	188701	41686	77596	110762	127130	51212	94640	98014
MAG51	18630	78685	36303	73723	83940	190081	23751	31396	14892	15227	4890	58385	141981	8376	42277	7020
MAG52	198736	15112	6741	19461	38088	201421	44379	76613	23969	21010	450502	726940	85274	20619	70921	92710
MAG53	135817	108254	81214	87489	48873	38649	147188	164746	608017	119759	273789	198676	372694	540024	582047	371031
MAG54	61770	99882	89835	80537	55171	45544	42100	69629	228558	44177	128157	63314	183561	198946	205651	126193
MAG55	11289	32069	39096	18884	17712	15926	14358	9081	129957	22149	102898	10184	60253	100391	48899	73747
MAG56	191710	59848	28018	176251	129632	209609	129801	428166	16016	9183	19411	40147	80102	23717	23546	17343
MAG57	29570	29085	13596	54724	3904	10630	13403	6751	6277	6025	9220	18356	217158	3973	11894	7867
MAG58	8108	22617	3492	98975	1757	327	10152	7071	736	36	5925	434	249	228	59	137
MAG59	98001	636884	389683	521154	678736	458606	109422	194497	36218	83801	320895	24129	70299	359430	11981	113182
MAG60	50299	46477	15815	67664	76710	71385	59502	207312	108950	17605	28267	575867	79251	114636	76556	107667
MAG61	26880	113983	155273	82717	28826	42711	43205	39820	200494	31967	276836	65368	119872	135346	86068	150488
MAG62	37834	124091	32631	104162	10630	41773	245800	141379	6418	4588	5694	175897	27214	3981	14271	6694
MAG63	30967	58688	50482	46949	34009	44560	28867	35847	164476	17822	81269	28233	65942	82668	53679	85169
MAG64	157089	180897	149742	121092	164772	128517	110023	138529	396354	122366	294501	65615	583035	355841	673982	138380
MAG65	7619	17130	12026	13395	12688	14433	6049	7951	83200	3640	13839	27338	11806	32336	24568	43131
MAG66	3560	26087	8118	130743	7256	28529	3040	28726	388	580	259	1082	6808	4214	4195	640
MAG67	17679	19440	20728	13904	13466	10726	10045	18065	128851	16656	51867	26030	38851	77710	41727	59423
MAG68	4312	14994	14400	9585	58348	25369	5422	5352	192918	38501	117989	51864	153801	124441	116489	98200
MAG69	60867	161443	139391	90133	59935	61400	43045	58900	140000	26302	59173	40580	125115	101864	170696	65110
